code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256,encoded_value,multiplier
300866,FN63,2026-06-30,instant,CNY,10667181269.36,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,10667181269.36,1
300866,FN271,2026-06-30,instant,CNY,11591724413.95,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,11591724413.95,1
300866,FN69,2026-06-30,instant,CNY,161250043.78,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,161250043.78,1
300866,FN72,2026-06-30,instant,CNY,11752974457.73,58,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,11752974457.73,1
300866,FN80,2026-06-30,ytd,CNY,144659201.59,61,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,144659201.59,1
300866,FN305,2026-06-30,ytd,CNY,32364349.61,61,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,32364349.61,1
300866,FN306,2026-06-30,ytd,CNY,53909463.09,61,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,53909463.09,1
300866,FN86,2026-06-30,ytd,CNY,2089589321.42,61,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,2089589321.42,1
300866,FN92,2026-06-30,ytd,CNY,2075126308.64,61,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,2075126308.64,1
300866,FN93,2026-06-30,ytd,CNY,330304038.64,61,https://static.cninfo.com.cn/finalpage/2026-08-31/1225533054.PDF,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,330304038.64,1
