period,item,value,unit,status,formula,as_of
TTM-2026-06-30,cf_asset_impairment,571177077.90,CNY,statement_reconciled_not_fcff,2025-12-31/cf_asset_impairment+2026-06-30/cf_asset_impairment-2025-06-30/cf_asset_impairment,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_credit_impairment,57552688.82,CNY,statement_reconciled_not_fcff,2025-12-31/cf_credit_impairment+2026-06-30/cf_credit_impairment-2025-06-30/cf_credit_impairment,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_property_depreciation,896989.58,CNY,statement_reconciled_not_fcff,2025-12-31/cf_property_depreciation+2026-06-30/cf_property_depreciation-2025-06-30/cf_property_depreciation,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_fixed_depreciation,127963760.73,CNY,statement_reconciled_not_fcff,2025-12-31/cf_fixed_depreciation+2026-06-30/cf_fixed_depreciation-2025-06-30/cf_fixed_depreciation,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_rou_depreciation,98163690.08,CNY,statement_reconciled_not_fcff,2025-12-31/cf_rou_depreciation+2026-06-30/cf_rou_depreciation-2025-06-30/cf_rou_depreciation,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_intangible_amortization,6912272.11,CNY,statement_reconciled_not_fcff,2025-12-31/cf_intangible_amortization+2026-06-30/cf_intangible_amortization-2025-06-30/cf_intangible_amortization,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_deferred_amortization,24998218.82,CNY,statement_reconciled_not_fcff,2025-12-31/cf_deferred_amortization+2026-06-30/cf_deferred_amortization-2025-06-30/cf_deferred_amortization,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_disposal_loss,-263910.36,CNY,statement_reconciled_not_fcff,2025-12-31/cf_disposal_loss+2026-06-30/cf_disposal_loss-2025-06-30/cf_disposal_loss,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_retirement_loss,493584.96,CNY,statement_reconciled_not_fcff,2025-12-31/cf_retirement_loss+2026-06-30/cf_retirement_loss-2025-06-30/cf_retirement_loss,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_fair_value,-337062951.18,CNY,statement_reconciled_not_fcff,2025-12-31/cf_fair_value+2026-06-30/cf_fair_value-2025-06-30/cf_fair_value,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_finance,63953754.24,CNY,statement_reconciled_not_fcff,2025-12-31/cf_finance+2026-06-30/cf_finance-2025-06-30/cf_finance,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_investment,-147508044.88,CNY,statement_reconciled_not_fcff,2025-12-31/cf_investment+2026-06-30/cf_investment-2025-06-30/cf_investment,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_deferred_tax_assets,11389263.98,CNY,statement_reconciled_not_fcff,2025-12-31/cf_deferred_tax_assets+2026-06-30/cf_deferred_tax_assets-2025-06-30/cf_deferred_tax_assets,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_deferred_tax_liabilities,24239086.63,CNY,statement_reconciled_not_fcff,2025-12-31/cf_deferred_tax_liabilities+2026-06-30/cf_deferred_tax_liabilities-2025-06-30/cf_deferred_tax_liabilities,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_inventory,-1645305396.42,CNY,statement_reconciled_not_fcff,2025-12-31/cf_inventory+2026-06-30/cf_inventory-2025-06-30/cf_inventory,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_receivables,-1038968479.11,CNY,statement_reconciled_not_fcff,2025-12-31/cf_receivables+2026-06-30/cf_receivables-2025-06-30/cf_receivables,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_payables,1221384581.70,CNY,statement_reconciled_not_fcff,2025-12-31/cf_payables+2026-06-30/cf_payables-2025-06-30/cf_payables,2026-09-06T00:00:00+00:00
TTM-2026-06-30,cf_share_payment,99812146.16,CNY,statement_reconciled_not_fcff,2025-12-31/cf_share_payment+2026-06-30/cf_share_payment-2025-06-30/cf_share_payment,2026-09-06T00:00:00+00:00
TTM-2026-06-30,operating_cash_flow,2335556990.84,CNY,statement_reconciled_not_fcff,2025-12-31/operating_cash_flow+2026-06-30/operating_cash_flow-2025-06-30/operating_cash_flow,2026-09-06T00:00:00+00:00
