id,period,kind,key,pdf_id,pdf_page,section,end_section,label,occurrence,column,printed,value,provider_field
2025-06-30/loan_interest,2025-06-30,ytd,loan_interest,1224614835,142,48、财务费用,49、其他收益,贷款及应付款项的利息支出,0,0,"17,411,084.45",17411084.45,
2025-06-30/lease_interest,2025-06-30,ytd,lease_interest,1224614835,142,48、财务费用,49、其他收益,租赁负债的利息支出,0,0,"3,050,614.60",3050614.60,
2025-06-30/fx_loss,2025-06-30,ytd,fx_loss,1224614835,142,48、财务费用,49、其他收益,净汇兑亏损,0,0,"-89,686,051.23",-89686051.23,
2025-06-30/fees,2025-06-30,ytd,fees,1224614835,142,48、财务费用,49、其他收益,手续费及其他,0,0,"50,797,807.96",50797807.96,
2025-06-30/cash_discount,2025-06-30,ytd,cash_discount,1224614835,142,48、财务费用,49、其他收益,现金折扣,0,0,"-57,981.24",-57981.24,
2025-06-30/associate_income,2025-06-30,ytd,associate_income,1224614835,142,50、投资收益,51、公允价值变动收益,权益法核算的长期股权投资收益,0,0,"10,715,161.96",10715161.96,
2025-06-30/equity_disposal,2025-06-30,ytd,equity_disposal,1224614835,142,50、投资收益,51、公允价值变动收益,处置长期股权投资产生的投资收益,0,0,-,0.00,
2025-06-30/dividend_income,2025-06-30,ytd,dividend_income,1224614835,142,50、投资收益,51、公允价值变动收益,其他权益工具投资在持有期间取得的股利收入,0,0,"3,842,541.43",3842541.43,
2025-06-30/forward_realized,2025-06-30,ytd,forward_realized,1224614835,142,50、投资收益,51、公允价值变动收益,处置远汇金融工具产生的收益,0,0,"75,103,173.09",75103173.09,
2025-06-30/wealth_income,2025-06-30,ytd,wealth_income,1224614835,142,50、投资收益,51、公允价值变动收益,购买金融理财产品取得的收益,0,0,"61,498,959.50",61498959.50,
2025-06-30/trading_disposal,2025-06-30,ytd,trading_disposal,1224614835,142,50、投资收益,51、公允价值变动收益,处置交易性金融资产产生的收益,0,0,"3,641,638.64",3641638.64,
2025-06-30/fv_wealth_current,2025-06-30,ytd,fv_wealth_current,1224614835,143,51、公允价值变动收益,52、信用减值损失,其中：理财产品投资,0,0,"2,416,401.18",2416401.18,
2025-06-30/fv_equity_current,2025-06-30,ytd,fv_equity_current,1224614835,143,51、公允价值变动收益,52、信用减值损失,权益工具投资,0,0,"-9,059,422.91",-9059422.91,
2025-06-30/fv_forward_asset,2025-06-30,ytd,fv_forward_asset,1224614835,143,51、公允价值变动收益,52、信用减值损失,远期外汇合约公允价值变动,0,0,"-23,465,229.41",-23465229.41,
2025-06-30/fv_wealth_noncurrent,2025-06-30,ytd,fv_wealth_noncurrent,1224614835,143,51、公允价值变动收益,52、信用减值损失,其中：理财产品投资,1,0,"-1,045,167.88",-1045167.88,
2025-06-30/fv_equity_noncurrent,2025-06-30,ytd,fv_equity_noncurrent,1224614835,143,51、公允价值变动收益,52、信用减值损失,权益工具投资,1,0,"69,984,689.81",69984689.81,
2025-06-30/fv_forward_liability,2025-06-30,ytd,fv_forward_liability,1224614835,143,51、公允价值变动收益,52、信用减值损失,其中：远期外汇合约公允价值变动,0,0,"35,174,981.63",35174981.63,
2025-12-31/cash,2025-12-31,instant,cash,1225090973,108,1、合并资产负债表,2、母公司资产负债表,货币资金,0,0,"3,656,509,315.28",3656509315.28,FN8
2025-12-31/trading_assets,2025-12-31,instant,trading_assets,1225090973,108,1、合并资产负债表,2、母公司资产负债表,交易性金融资产,0,0,"2,466,995,658.45",2466995658.45,
2025-12-31/derivative_assets,2025-12-31,instant,derivative_assets,1225090973,108,1、合并资产负债表,2、母公司资产负债表,衍生金融资产,0,0,"131,685,919.86",131685919.86,
2025-12-31/receivables,2025-12-31,instant,receivables,1225090973,108,1、合并资产负债表,2、母公司资产负债表,应收账款,0,0,"1,872,623,540.20",1872623540.20,FN11
2025-12-31/prepayments,2025-12-31,instant,prepayments,1225090973,108,1、合并资产负债表,2、母公司资产负债表,预付款项,0,0,"70,350,128.35",70350128.35,
2025-12-31/other_receivables,2025-12-31,instant,other_receivables,1225090973,108,1、合并资产负债表,2、母公司资产负债表,其他应收款,0,0,"141,833,280.78",141833280.78,
2025-12-31/dividends_receivable,2025-12-31,instant,dividends_receivable,1225090973,108,1、合并资产负债表,2、母公司资产负债表,应收股利,0,0,-,0.00,
2025-12-31/inventory,2025-12-31,instant,inventory,1225090973,108,1、合并资产负债表,2、母公司资产负债表,存货,0,0,"4,997,119,037.74",4997119037.74,FN17
2025-12-31/other_current_assets,2025-12-31,instant,other_current_assets,1225090973,108,1、合并资产负债表,2、母公司资产负债表,其他流动资产,0,0,"2,749,409,761.83",2749409761.83,
2025-12-31/current_assets,2025-12-31,instant,current_assets,1225090973,108,1、合并资产负债表,2、母公司资产负债表,流动资产合计,0,0,"16,086,526,642.49",16086526642.49,FN21
2025-12-31/equity_investments,2025-12-31,instant,equity_investments,1225090973,108,1、合并资产负债表,2、母公司资产负债表,长期股权投资,0,0,"581,969,620.43",581969620.43,FN25
2025-12-31/assets,2025-12-31,instant,assets,1225090973,108,1、合并资产负债表,2、母公司资产负债表,资产总计,0,0,"20,066,892,453.86",20066892453.86,FN40
2025-12-31/short_debt,2025-12-31,instant,short_debt,1225090973,109,1、合并资产负债表,2、母公司资产负债表,短期借款,0,0,"567,318,259.44",567318259.44,FN41
2025-12-31/trading_liabilities,2025-12-31,instant,trading_liabilities,1225090973,109,1、合并资产负债表,2、母公司资产负债表,交易性金融负债,0,0,"18,958,544.41",18958544.41,
2025-12-31/derivative_liabilities,2025-12-31,instant,derivative_liabilities,1225090973,109,1、合并资产负债表,2、母公司资产负债表,衍生金融负债,0,0,"42,414,321.45",42414321.45,
2025-12-31/notes_payable,2025-12-31,instant,notes_payable,1225090973,109,1、合并资产负债表,2、母公司资产负债表,应付票据,0,0,"442,855,185.81",442855185.81,
2025-12-31/payables,2025-12-31,instant,payables,1225090973,109,1、合并资产负债表,2、母公司资产负债表,应付账款,0,0,"1,870,506,566.12",1870506566.12,FN44
2025-12-31/contract_liabilities,2025-12-31,instant,contract_liabilities,1225090973,109,1、合并资产负债表,2、母公司资产负债表,合同负债,0,0,"552,495,558.11",552495558.11,
2025-12-31/payroll,2025-12-31,instant,payroll,1225090973,109,1、合并资产负债表,2、母公司资产负债表,应付职工薪酬,0,0,"1,250,861,324.61",1250861324.61,
2025-12-31/tax_payable,2025-12-31,instant,tax_payable,1225090973,109,1、合并资产负债表,2、母公司资产负债表,应交税费,0,0,"532,477,001.41",532477001.41,
2025-12-31/other_payables,2025-12-31,instant,other_payables,1225090973,109,1、合并资产负债表,2、母公司资产负债表,其他应付款,0,0,"917,093,735.77",917093735.77,
2025-12-31/current_debt,2025-12-31,instant,current_debt,1225090973,109,1、合并资产负债表,2、母公司资产负债表,一年内到期的非流动负债,0,0,"226,443,613.72",226443613.72,FN52
2025-12-31/other_current_liabilities,2025-12-31,instant,other_current_liabilities,1225090973,109,1、合并资产负债表,2、母公司资产负债表,其他流动负债,0,0,"347,087,401.79",347087401.79,
2025-12-31/current_liabilities,2025-12-31,instant,current_liabilities,1225090973,109,1、合并资产负债表,2、母公司资产负债表,流动负债合计,0,0,"6,768,511,512.64",6768511512.64,FN54
2025-12-31/long_debt,2025-12-31,instant,long_debt,1225090973,109,1、合并资产负债表,2、母公司资产负债表,长期借款,0,0,"781,332,000.16",781332000.16,FN55
2025-12-31/bonds,2025-12-31,instant,bonds,1225090973,109,1、合并资产负债表,2、母公司资产负债表,应付债券,0,0,"1,097,399,801.76",1097399801.76,FN56
2025-12-31/leases,2025-12-31,instant,leases,1225090973,109,1、合并资产负债表,2、母公司资产负债表,租赁负债,0,0,"246,330,560.40",246330560.40,FN439
2025-12-31/liabilities,2025-12-31,instant,liabilities,1225090973,109,1、合并资产负债表,2、母公司资产负债表,负债合计,0,0,"9,355,222,427.13",9355222427.13,FN63
2025-12-31/equity_parent,2025-12-31,instant,equity_parent,1225090973,109,1、合并资产负债表,2、母公司资产负债表,归属于母公司所有者权益合计,0,0,"10,527,603,265.38",10527603265.38,FN271
