scenario,year,revenue,growth,ebit_margin,nopat,inventory_balance,inventory_increase,other_wc_balance,other_wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,pv,valuation_date,status,information_as_of
expansive,1,180514266414.331987,0.060900,0.652287,88310323378.273827,65002455250.963994,3685246879.663994,-16173008270.286976,-520284159.086976,103622573.519020,2492894280.296059,4242316071.454002,1749421791.157943,5018007085.253982,83292316293.019846,77843286255.158734,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,2,191507585238.964805,0.060900,0.659215,94683533671.976040,68366658185.411507,3364202934.447513,-16698610060.239886,-525601789.952910,109933188.246328,2644711541.966089,4500673120.205551,1855961578.239462,4804495910.980393,89879037760.995647,78503832440.384005,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,3,203170397180.017762,0.060900,0.666143,101505474769.002607,71344260739.766842,2977602554.355335,-17228247533.406137,-529637473.166251,116628119.410530,2805774474.871824,4774764113.226069,1968989638.354246,4533582838.953859,96971891930.048748,79157949500.587937,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,4,215543474368.280843,0.060900,0.673072,108807165055.129048,73874512159.659968,2530251419.893125,-17760462878.826519,-532215345.420382,123730771.882631,2976646140.391518,4819269580.223515,1842623439.831997,3964390286.187371,104842774768.941677,79984050889.002688,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,5,228670071957.309147,0.060900,0.680000,116621736698.227665,75903470294.048785,2028958134.388818,-18293605756.584732,-533142877.758213,131265975.890283,3157923890.341361,4840025357.565118,1682101467.223756,3309182699.744644,113312553998.483020,80790284962.915287,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,6,240954228222.855794,0.053720,0.680000,122886656393.656455,77983152381.797324,2079682087.748538,-19276338257.828464,-982732501.243732,122841562.655466,3327567561.730499,4816368838.908167,1488801277.177668,2708592426.337941,120178063967.318514,80079718397.946117,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,7,252168238004.347503,0.046540,0.680000,128605801382.217226,80114826521.739575,2131674139.942252,-20173459040.347800,-897120782.519337,112140097.814917,3482432556.053437,4747558265.999999,1265125709.946563,2611819165.184395,125993982217.032832,78462719904.668967,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,8,262093579852.198620,0.039360,0.680000,133667725724.621296,82299792515.180383,2184965993.440808,-20967486388.175890,-794027347.828089,99253418.478511,3619501101.459700,4633980168.654109,1014479067.194409,2504671131.285639,131163054593.335658,76338091955.882544,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,9,270527751251.842372,0.032180,0.680000,137969153138.439610,84539382658.457211,2239590143.276828,-21642220100.147390,-674733711.971500,84341713.996438,3735976646.904673,4775817690.778942,1039841043.874269,2689039189.176035,135280113949.263575,73583418677.632958,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
expansive,10,277290945033.138431,0.025000,0.680000,141418381966.900600,86834962555.315960,2295579896.858749,-22183275602.651075,-541055502.503685,67631937.812961,3829376063.077290,4895213133.048416,1065837069.971126,2887993402.139151,138530388564.761449,70421824966.043897,2026-06-30,illustrative_model_not_reported_fact,2026-09-06T00:00:00+00:00
