old_code,new_code,source_name,source_listing_date,switch_date
873169,920169,七丰精工,2022/4/15,2025-10-09
831689,920689,克莱特,2022/3/21,2025-10-09
832419,920419,路斯股份,2022/3/11,2025-10-09
835179,920179,凯德石英,2022/3/4,2025-10-09
871857,920857,泓禧科技,2022/2/28,2025-10-09
833346,920346,威贸电子,2022/2/23,2025-10-09
870204,920204,沪江材料,2022/1/18,2025-10-09
871245,920245,威博液压,2022/1/6,2025-10-09
836720,920720,吉冈精密,2021/11/24,2025-10-09
871981,920981,晶赛科技,2021/11/15,2025-10-09
833873,920873,中设咨询,2021/11/15,2025-10-09
831832,920932,科达自控,2021/11/15,2025-10-09
839680,920680,*ST广道,2021/11/15,2025-10-09
833454,920454,同心传动,2021/11/15,2025-10-09
870436,920436,大地电气,2021/11/15,2025-10-09
836260,920260,中寰股份,2021/11/15,2025-10-09
832171,920171,志晟信息,2021/11/15,2025-10-09
832145,920145,恒合股份,2021/11/15,2025-10-09
837092,920092,汉鑫科技,2021/11/15,2025-10-09
832089,920089,禾昌聚合,2021/11/9,2025-10-09
831305,920405,海希通讯,2021/11/5,2025-10-09
838924,920924,广脉科技,2021/11/3,2025-10-09
836892,920892,广咨国际,2021/10/28,2025-10-09
872925,920925,锦好医疗,2021/10/25,2025-10-09
836077,920077,吉林碳谷,2021/8/31,2025-10-09
835305,920305,*ST云创,2021/8/26,2025-10-09
835174,920174,五新隧装,2021/8/20,2025-10-09
831039,920039,国义招标,2021/8/18,2025-10-09
871642,920642,通易航天,2021/8/16,2025-10-09
832566,920566,梓橦宫,2021/8/13,2025-10-09
430090,920090,同辉信息,2021/8/9,2025-10-09
871553,920553,凯腾精工,2021/8/6,2025-10-09
839946,920146,华阳变速,2021/7/20,2025-10-09
832885,920885,星辰科技,2021/7/8,2025-10-09
834765,920765,美之高,2021/7/5,2025-10-09
831768,920768,拾比佰,2021/6/28,2025-10-09
837212,920212,智新电子,2021/6/8,2025-10-09
833523,920523,德瑞锂电,2021/6/3,2025-10-09
831726,920726,朱老六,2021/5/27,2025-10-09
832225,920225,利通科技,2021/2/25,2025-10-09
830832,920832,齐鲁华信,2021/2/23,2025-10-09
834599,920599,同力股份,2021/2/22,2025-10-09
832735,920735,德源药业,2021/2/19,2025-10-09
836239,920239,长虹能源,2021/2/9,2025-10-09
833427,920427,华维设计,2021/2/5,2025-10-09
838275,920275,驱动力,2021/1/25,2025-10-09
836826,920826,盖世食品,2021/1/12,2025-10-09
833509,920509,同惠电子,2021/1/11,2025-10-09
837344,920344,三元基因,2021/1/8,2025-10-09
836675,920675,秉扬科技,2020/12/28,2025-10-09
430510,920510,丰光精密,2020/12/28,2025-10-09
831856,920856,浩淼科技,2020/12/25,2025-10-09
832000,920000,安徽凤凰,2020/12/23,2025-10-09
835670,920670,数字人,2020/12/8,2025-10-09
838030,920030,德众汽车,2020/11/27,2025-10-09
430047,920047,诺思兰德,2020/11/24,2025-10-09
871396,920396,常辅股份,2020/11/18,2025-10-09
830839,920839,万通液压,2020/11/9,2025-10-09
830964,920964,润农节水,2020/7/27,2025-10-09
831961,920961,创远信科,2020/7/27,2025-10-09
830946,920946,森萱医药,2020/7/27,2025-10-09
833819,920819,颖泰生物,2020/7/27,2025-05-06
830799,920799,艾融软件,2020/7/27,2025-05-06
839729,920729,永顺生物,2020/7/27,2025-10-09
834682,920682,球冠电缆,2020/7/27,2025-05-06
835640,920640,富士达,2020/7/27,2025-10-09
835508,920508,殷图网联,2020/7/27,2025-10-09
430489,920489,佳先股份,2020/7/27,2025-05-06
834475,920475,三友科技,2020/7/27,2025-10-09
831445,920445,龙竹科技,2020/7/27,2025-05-06
836433,920433,大唐药业,2020/7/27,2025-10-09
430418,920418,苏轴股份,2020/7/27,2025-10-09
834415,920415,恒拓开源,2020/7/27,2025-10-09
831370,920370,新安洁,2020/7/27,2025-10-09
835368,920368,连城数控,2020/7/27,2025-10-09
832278,920278,鹿得医疗,2020/7/27,2025-10-09
833266,920266,生物谷,2020/7/27,2025-10-09
836263,920263,中航泰达,2020/7/27,2025-10-09
837242,920242,建邦科技,2020/7/27,2025-10-09
430198,920198,微创光电,2020/7/27,2025-10-09
835185,920185,贝特瑞,2020/7/27,2025-10-09
835184,920184,国源科技,2020/7/27,2025-10-09
839167,920167,同享科技,2020/7/27,2025-05-06
838163,920163,方大新材,2020/7/27,2025-10-09
836149,920149,旭杰科技,2020/7/27,2025-10-09
834021,920021,流金科技,2020/7/27,2025-10-09
831010,920010,凯添燃气,2020/7/27,2025-10-09
