code,scenario,year,revenue,growth,ebit_margin,nopat,inventory_balance,inventory_increase,other_wc_balance,other_wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,pv,information_as_of,valuation_date,status
600519,central,9,233618888378.853908,0.024080,0.650000,113889208084.691280,79504330737.288593,1820711505.345996,-11680944418.942695,-274663250.535251,109865300.214101,3226266895.289555,4179431959.875279,953165064.585724,2609078619.610570,111280129465.080710,55667769827.161689,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,central,10,238291266146.430986,0.020000,0.650000,116166992246.385106,81361456472.741509,1857125735.452916,-11914563307.321549,-233618888.378854,93447555.351542,3290792233.195346,4263020599.072784,972228365.877438,2689182768.303042,113477809478.082063,52562182392.362100,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,1,180514267120.435200,0.060900,0.652287,88310321966.340308,65002457006.079280,3685246894.079280,-16173008459.711859,-520284138.634359,103622573.924352,2492894338.208104,4242316136.209120,1749421798.001017,5018007127.370289,83292314838.970018,77843284896.233662,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,2,191507585988.069704,0.060900,0.659215,94683532644.046711,68366659953.686276,3364202947.606996,-16698610225.942627,-525601766.230768,109933188.676345,2644711603.404977,4500673188.904256,1855961585.499279,4804495955.551851,89879036688.494860,78503831503.620281,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,3,203170397974.743149,0.060900,0.666143,101505474177.085773,71344262519.688861,2977602566.002585,-17228247671.794840,-529637445.852212,116628119.866734,2805774540.052340,4774764186.108525,1968989646.056185,4533582886.073292,96971891291.012481,79157948978.943989,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,4,215543475211.405006,0.060900,0.673072,108807164956.143425,73874513949.479368,2530251429.790508,-17760462985.959773,-532215314.164933,123730772.366619,2976646209.541528,4819269656.581167,1842623447.039640,3964390335.031833,104842774621.111592,79984050776.223825,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,5,228670072851.779571,0.060900,0.680000,116621737154.407581,75903472091.804699,2028958142.325331,-18293605828.142366,-533142842.182593,131265976.403746,3157923963.702607,4840025437.506105,1682101473.803498,3309182750.349982,113312554404.057599,80790285252.084356,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,6,240954229165.377170,0.053720,0.680000,122886656874.342357,77983154187.688163,2079682095.883464,-19276338333.230174,-982732505.087808,122841563.135976,3327567639.032711,4816368922.034003,1488801283.001292,2708592436.932925,120178064437.409432,80079718711.187544,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,7,252168238990.733823,0.046540,0.680000,128605801885.274250,80114828335.968714,2131674148.280551,-20173459119.258706,-897120786.028532,112140098.253567,3482432636.953293,4747558351.848547,1265125714.895254,2611819175.400839,125993982709.873411,78462720211.585310,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,8,262093580877.409107,0.039360,0.680000,133667726247.478644,82299794337.956279,2184966001.987565,-20967486470.192729,-794027350.934023,99253418.866753,3619501185.543775,4633980256.706440,1014479071.162665,2504671141.082960,131163055106.395684,76338092254.488150,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,9,270527752310.044132,0.032180,0.680000,137969153678.122507,84539384489.993533,2239590152.037254,-21642220184.803531,-674733714.610802,84341714.326350,3735976733.694573,4775817781.636305,1039841047.941732,2689039199.694534,135280114478.427973,73583418965.463329,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
600519,expansive,10,277290946117.795235,0.025000,0.680000,141418382520.075570,86834964395.831718,2295579905.838185,-22183275689.423619,-541055504.620088,67631938.077511,3829376152.036938,4895213226.177213,1065837074.140275,2887993413.435883,138530389106.639687,70421825241.507315,2026-09-06T00:00:00+00:00,2026-06-30,illustrative_model_not_reported_fact
