scenario,year,revenue,growth,ebit_margin,ebit,tax_rate,nopat,wc_balance,wc_change,operating_cash_increase,da,gross_longlived_investment,net_longlived_investment,reinvestment,fcff,discount_factor,pv,valuation_date,information_as_of,status
central,1,38362967272.963200,0.120000,0.095450,3661748969.806144,0.210000,2892781686.146854,4756730762.054477,475458945.644477,82206358.442064,290007123.078400,1084668588.018352,794661464.939952,1352326769.026493,1540454917.120361,1.090000,1413261391.853542,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,2,42966523345.718784,0.120000,0.096588,4150032218.280131,0.220000,3237025130.258502,5284649540.497324,527918778.442847,92071121.455112,324807977.847808,1214828818.580554,890020840.732746,1510010740.630705,1727014389.627797,1.188100,1453593459.833176,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,3,48122506147.205038,0.120000,0.097725,4702774261.222665,0.230000,3621136181.141452,5870771902.792870,586122362.295546,103119656.029725,363784935.189545,1360608276.810221,996823341.620676,1686065359.945947,1935070821.195505,1.295029,1494229720.875367,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,4,53897206884.869643,0.120000,0.098863,5328413930.528175,0.240000,4049594587.201413,6521464678.656186,650692775.863316,115494014.753292,407439127.412290,1523881270.027447,1116442142.615157,1882628933.231765,2166965653.969648,1.411582,1535133100.784480,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,5,60364871711.054000,0.120000,0.100000,6036487171.105400,0.250000,4527365378.329050,7243784605.326480,722319926.670294,129353296.523687,456331822.701765,1706747022.430741,1250415199.728976,2102088422.922957,2425276955.406093,1.538624,1576263613.784513,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,6,66401358882.159400,0.100000,0.100000,6640135888.215940,0.250000,4980101916.161955,7968163065.859128,724378460.532648,120729743.422108,501965004.971942,1669019191.385652,1167054186.413711,2012162390.368467,2967939525.793488,1.677100,1769685367.384051,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,7,71713467592.732152,0.080000,0.100000,7171346759.273215,0.250000,5378510069.454911,8605616111.127858,637453045.268730,106242174.211455,542122205.369697,1569129889.413762,1027007684.044065,1770702903.524251,3607807165.930661,1.828039,1973594068.555188,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,8,76016275648.296081,0.060000,0.100000,7601627564.829608,0.250000,5701220673.622206,9121953077.795530,516336966.667671,86056161.111279,574649537.691879,1406525761.767572,831876224.075693,1434269351.854643,4266951321.767563,1.992563,2141438985.400288,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,9,79056926674.227924,0.040000,0.100000,7905692667.422792,0.250000,5929269500.567094,9486831200.907351,364878123.111821,60813020.518637,597635519.199554,1185494717.546377,587859198.346823,1013550341.977281,4915719158.589813,2.171893,2263333656.915248,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
central,10,81428634474.454762,0.030000,0.100000,8142863447.445476,0.250000,6107147585.584107,9771436136.934571,284604936.027221,47434156.004537,615564584.775541,1074094759.486063,458530174.710522,790569266.742279,5316578318.841828,2.367364,2245780137.586103,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,1,40418126234.014800,0.180000,0.098450,3979168471.890660,0.210000,3143543092.793622,4849883119.371336,568611302.961336,61654768.831548,305543218.957600,1388905585.569086,1083362366.611486,1713628438.404370,1429914654.389251,1.080000,1323995050.360418,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,2,47693388956.137464,0.180000,0.102588,4892749030.112187,0.220000,3816344243.487506,5484481284.547069,634598165.175733,72752627.221227,360540998.369968,1638908590.971522,1278367592.601554,1985718384.998513,1830625858.488992,1.166400,1569466613.930892,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,3,56278198968.242208,0.180000,0.106725,6006293530.804205,0.230000,4624846018.719238,6190398576.118434,705917291.571366,85848100.121047,425438378.076562,1933912137.346396,1508473759.269834,2300239150.962246,2324606867.756991,1.259712,1845347879.322410,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,4,66408274782.525805,0.180000,0.110863,7362188983.169715,0.240000,5595263627.208983,6972748899.036167,782350322.917732,101300758.142836,502017286.130343,2282016322.068747,1779999035.938404,2663650116.998972,2931613510.210011,1.360489,2154823446.865759,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,5,78361764243.380450,0.180000,0.115000,9011602887.988752,0.250000,6758702165.991564,7836176424.338045,863427525.301878,119534894.608546,592380397.633805,2692779260.041121,2100398862.407316,3083361282.317741,3675340883.673823,1.469328,2501375248.799590,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,6,90116028879.887517,0.150000,0.115000,10363343321.187064,0.250000,7772507490.890298,9011602887.988752,1175426463.650707,117542646.365071,681237457.278876,2746629671.979404,2065392214.700528,3358361324.716305,4414146166.173993,1.586874,2781660842.545353,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,7,100929952345.474019,0.120000,0.115000,11606944519.729512,0.250000,8705208389.797134,10092995234.547402,1081392346.558650,108139234.655865,762985952.152341,2663146789.676827,1900160837.524485,3089692418.739001,5615515971.058134,1.713824,3276599633.553537,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,8,110013648056.566681,0.090000,0.115000,12651569526.505168,0.250000,9488677144.878876,11001364805.656668,908369571.109266,90836957.110927,831654687.846052,2427789791.366620,1596135103.520568,2595341631.740760,6893335513.138116,1.850930,3724254688.180986,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,9,116614466939.960682,0.060000,0.115000,13410663698.095478,0.250000,10057997773.571609,11661446693.996068,660081888.339400,66008188.833940,881553969.116815,2041412144.341761,1159858175.224946,1885948252.398286,8172049521.173323,1.999005,4088059332.314091,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
expansive,10,120112900948.159502,0.030000,0.115000,13812983609.038343,0.250000,10359737706.778757,12011290094.815950,349843400.819882,34984340.081988,908000588.190319,1522725421.059541,614724832.869221,999552573.771092,9360185133.007666,2.158925,4335576800.876227,2026-06-30,2026-09-06T00:00:00+00:00,illustrative_model_not_reported_fact
