code,period,item,value,unit,period_basis,route,field,scope,reason,pdf_value,pdf_locator,pdf_sha256,announcement_id,available_at,information_as_of,tdx_source,tdx_probe,tdx_probe_sha256
600519,2026-06-30,deposits_liability,25426317500.0000000000,CNY,instant,tdx_standard,FN413,provider_default,reviewed_direct_field,25426316668.17,moutai/1225475868.pdf#page=27,0e10aa26be46b1cf3cd03f06e834c7fb98d5dd0d661b96f8fddd4af7e846a4f6,1225475868,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c/1225475868,FN413*10000,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2026-06-30,finance_equity,11941000000.00,CNY,instant,cninfo_note,,finance_subsidiary,subsidiary_scope_not_consolidated_field,11941000000.00,moutai/1225475863.pdf#page=7,cf2d50aa028fcf11ce9eb04746932b7a9be25c3e31d443295f77add844b1121b,1225475863,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2025-12-31,finance_net_income,1156000000.00,CNY,ytd,cninfo_note,,finance_subsidiary,subsidiary_scope_not_consolidated_field,1156000000.00,moutai/1225114745.pdf#page=6,0225fe2f8dc67e8cdf751bcbb69239e831a0ceeb3c2c5c3ab9f5d74a3ba5dd09,1225114745,2026-04-17 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
600519,2026-06-30,finance_net_income,468000000.00,CNY,ytd,cninfo_note,,finance_subsidiary,subsidiary_scope_not_consolidated_field,468000000.00,moutai/1225475863.pdf#page=7,cf2d50aa028fcf11ce9eb04746932b7a9be25c3e31d443295f77add844b1121b,1225475863,2026-08-15 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
600519,2025-06-30,finance_net_income,634000000.00,CNY,ytd,cninfo_note,,finance_subsidiary,subsidiary_scope_not_consolidated_field,634000000.00,moutai/1224462928.pdf#page=5,5d32e0aa02a47f2178cc973b278177d337f472eaacd46ae2807ed5b6b44ef297,1224462928,2025-08-13 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
300866,2025-12-31,forward_realized,116342144.35,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,116342144.35,anker/1225090973.pdf#page=180,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,1225090973,2026-04-10 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
300866,2026-06-30,forward_realized,-53469637.17,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,-53469637.17,anker/1225533054.pdf#page=132,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
300866,2025-06-30,forward_realized,75103173.09,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,75103173.09,anker/1224614835.pdf#page=142,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,1224614835,2025-08-29 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,d234e4f6cc3233fa9dc38e27269f15d6cd0f106f704a89ed9f798a2c335d39fb
300866,2025-12-31,fv_forward_asset,-19030338.74,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,-19030338.74,anker/1225090973.pdf#page=180,8dadc4bfd7282738697a5ee82d9b25faa657e053e3f480e71dd6ae9987703202,1225090973,2026-04-10 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,39cdb919483b892674c9624cb03946ddb03f10faf83d3368384505c356fb336f
300866,2026-06-30,fv_forward_asset,-18295304.62,CNY,ytd,cninfo_note,,consolidated_note_component,hedging_component_not_total_investment_or_fair_value,-18295304.62,anker/1225533054.pdf#page=133,ff81b9e7c2e8eb04bd450fce3c084b28f5b4be4c1e2638250160b7bb813ebac1,1225533054,2026-08-31 16:00:00+00,2026-09-06T00:00:00+00:00,,no_nonzero_match_not_proof_of_absence,6366c4224e1a08de7bdb8e45ec6af624a20205f70a305eaf66a33d78aaa6578c
